Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
S&E Fields,Science and engineering,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[S&E Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2016,Total for selected values,Total for selected values,Total for selected values,"39,115"
2016,Brown University,Total for selected values,Total for selected values,"1,618"
2016,Brown University,Science and engineering,Total for selected values,"1,618"
2016,Brown University,Science and engineering,Female,707
2016,Brown University,Science and engineering,Male,911
2016,Columbia University in the City of New York,Total for selected values,Total for selected values,"6,408"
2016,Columbia University in the City of New York,Science and engineering,Total for selected values,"6,408"
2016,Columbia University in the City of New York,Science and engineering,Female,"2,550"
2016,Columbia University in the City of New York,Science and engineering,Male,"3,858"
2016,Cornell University,Total for selected values,Total for selected values,"5,020"
2016,Cornell University,Science and engineering,Total for selected values,"5,020"
2016,Cornell University,Science and engineering,Female,"2,264"
2016,Cornell University,Science and engineering,Male,"2,756"
2016,Dartmouth College,Total for selected values,Total for selected values,759
2016,Dartmouth College,Science and engineering,Total for selected values,759
2016,Dartmouth College,Science and engineering,Female,317
2016,Dartmouth College,Science and engineering,Male,442
2016,Duke University,Total for selected values,Total for selected values,"2,384"
2016,Duke University,Science and engineering,Total for selected values,"2,384"
2016,Duke University,Science and engineering,Female,"1,010"
2016,Duke University,Science and engineering,Male,"1,374"
2016,Harvard University,Total for selected values,Total for selected values,"4,650"
2016,Harvard University,Science and engineering,Total for selected values,"4,650"
2016,Harvard University,Science and engineering,Female,"2,092"
2016,Harvard University,Science and engineering,Male,"2,558"
2016,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,735"
2016,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,735"
2016,Massachusetts Institute of Technology,Science and engineering,Female,"1,460"
2016,Massachusetts Institute of Technology,Science and engineering,Male,"3,275"
2016,Princeton University,Total for selected values,Total for selected values,"2,061"
2016,Princeton University,Science and engineering,Total for selected values,"2,061"
2016,Princeton University,Science and engineering,Female,732
2016,Princeton University,Science and engineering,Male,"1,329"
2016,Stanford University,Total for selected values,Total for selected values,"6,506"
2016,Stanford University,Science and engineering,Total for selected values,"6,506"
2016,Stanford University,Science and engineering,Female,"2,201"
2016,Stanford University,Science and engineering,Male,"4,305"
2016,University of Pennsylvania,Total for selected values,Total for selected values,"2,859"
2016,University of Pennsylvania,Science and engineering,Total for selected values,"2,859"
2016,University of Pennsylvania,Science and engineering,Female,"1,205"
2016,University of Pennsylvania,Science and engineering,Male,"1,654"
2016,Yale University,Total for selected values,Total for selected values,"2,115"
2016,Yale University,Science and engineering,Total for selected values,"2,115"
2016,Yale University,Science and engineering,Female,960
2016,Yale University,Science and engineering,Male,"1,155"
2015,Total for selected values,Total for selected values,Total for selected values,"38,996"
2015,Brown University,Total for selected values,Total for selected values,"1,604"
2015,Brown University,Science and engineering,Total for selected values,"1,604"
2015,Brown University,Science and engineering,Female,688
2015,Brown University,Science and engineering,Male,916
2015,Columbia University in the City of New York,Total for selected values,Total for selected values,"6,095"
2015,Columbia University in the City of New York,Science and engineering,Total for selected values,"6,095"
2015,Columbia University in the City of New York,Science and engineering,Female,"2,387"
2015,Columbia University in the City of New York,Science and engineering,Male,"3,708"
2015,Cornell University,Total for selected values,Total for selected values,"4,961"
2015,Cornell University,Science and engineering,Total for selected values,"4,961"
2015,Cornell University,Science and engineering,Female,"2,171"
2015,Cornell University,Science and engineering,Male,"2,790"
2015,Dartmouth College,Total for selected values,Total for selected values,751
2015,Dartmouth College,Science and engineering,Total for selected values,751
2015,Dartmouth College,Science and engineering,Female,315
2015,Dartmouth College,Science and engineering,Male,436
2015,Duke University,Total for selected values,Total for selected values,"2,632"
2015,Duke University,Science and engineering,Total for selected values,"2,632"
2015,Duke University,Science and engineering,Female,"1,169"
2015,Duke University,Science and engineering,Male,"1,463"
2015,Harvard University,Total for selected values,Total for selected values,"4,438"
2015,Harvard University,Science and engineering,Total for selected values,"4,438"
2015,Harvard University,Science and engineering,Female,"1,937"
2015,Harvard University,Science and engineering,Male,"2,501"
2015,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,723"
2015,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,723"
2015,Massachusetts Institute of Technology,Science and engineering,Female,"1,430"
2015,Massachusetts Institute of Technology,Science and engineering,Male,"3,293"
2015,Princeton University,Total for selected values,Total for selected values,"2,022"
2015,Princeton University,Science and engineering,Total for selected values,"2,022"
2015,Princeton University,Science and engineering,Female,718
2015,Princeton University,Science and engineering,Male,"1,304"
2015,Stanford University,Total for selected values,Total for selected values,"6,560"
2015,Stanford University,Science and engineering,Total for selected values,"6,560"
2015,Stanford University,Science and engineering,Female,"2,185"
2015,Stanford University,Science and engineering,Male,"4,375"
2015,University of Pennsylvania,Total for selected values,Total for selected values,"3,152"
2015,University of Pennsylvania,Science and engineering,Total for selected values,"3,152"
2015,University of Pennsylvania,Science and engineering,Female,"1,353"
2015,University of Pennsylvania,Science and engineering,Male,"1,799"
2015,Yale University,Total for selected values,Total for selected values,"2,058"
2015,Yale University,Science and engineering,Total for selected values,"2,058"
2015,Yale University,Science and engineering,Female,944
2015,Yale University,Science and engineering,Male,"1,114"
2014,Total for selected values,Total for selected values,Total for selected values,"38,116"
2014,Brown University,Total for selected values,Total for selected values,"1,473"
2014,Brown University,Science and engineering,Total for selected values,"1,473"
2014,Brown University,Science and engineering,Female,647
2014,Brown University,Science and engineering,Male,826
2014,Columbia University in the City of New York,Total for selected values,Total for selected values,"5,614"
2014,Columbia University in the City of New York,Science and engineering,Total for selected values,"5,614"
2014,Columbia University in the City of New York,Science and engineering,Female,"2,186"
2014,Columbia University in the City of New York,Science and engineering,Male,"3,428"
2014,Cornell University,Total for selected values,Total for selected values,"4,841"
2014,Cornell University,Science and engineering,Total for selected values,"4,841"
2014,Cornell University,Science and engineering,Female,"2,103"
2014,Cornell University,Science and engineering,Male,"2,738"
2014,Dartmouth College,Total for selected values,Total for selected values,735
2014,Dartmouth College,Science and engineering,Total for selected values,735
2014,Dartmouth College,Science and engineering,Female,295
2014,Dartmouth College,Science and engineering,Male,440
2014,Duke University,Total for selected values,Total for selected values,"2,568"
2014,Duke University,Science and engineering,Total for selected values,"2,568"
2014,Duke University,Science and engineering,Female,"1,112"
2014,Duke University,Science and engineering,Male,"1,456"
2014,Harvard University,Total for selected values,Total for selected values,"4,378"
2014,Harvard University,Science and engineering,Total for selected values,"4,378"
2014,Harvard University,Science and engineering,Female,"1,903"
2014,Harvard University,Science and engineering,Male,"2,475"
2014,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,744"
2014,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,744"
2014,Massachusetts Institute of Technology,Science and engineering,Female,"1,401"
2014,Massachusetts Institute of Technology,Science and engineering,Male,"3,343"
2014,Princeton University,Total for selected values,Total for selected values,"2,008"
2014,Princeton University,Science and engineering,Total for selected values,"2,008"
2014,Princeton University,Science and engineering,Female,700
2014,Princeton University,Science and engineering,Male,"1,308"
2014,Stanford University,Total for selected values,Total for selected values,"6,437"
2014,Stanford University,Science and engineering,Total for selected values,"6,437"
2014,Stanford University,Science and engineering,Female,"2,135"
2014,Stanford University,Science and engineering,Male,"4,302"
2014,University of Pennsylvania,Total for selected values,Total for selected values,"3,272"
2014,University of Pennsylvania,Science and engineering,Total for selected values,"3,272"
2014,University of Pennsylvania,Science and engineering,Female,"1,382"
2014,University of Pennsylvania,Science and engineering,Male,"1,890"
2014,Yale University,Total for selected values,Total for selected values,"2,046"
2014,Yale University,Science and engineering,Total for selected values,"2,046"
2014,Yale University,Science and engineering,Female,935
2014,Yale University,Science and engineering,Male,"1,111"
2013,Total for selected values,Total for selected values,Total for selected values,"37,171"
2013,Brown University,Total for selected values,Total for selected values,"1,422"
2013,Brown University,Science and engineering,Total for selected values,"1,422"
2013,Brown University,Science and engineering,Female,638
2013,Brown University,Science and engineering,Male,784
2013,Columbia University in the City of New York,Total for selected values,Total for selected values,"5,074"
2013,Columbia University in the City of New York,Science and engineering,Total for selected values,"5,074"
2013,Columbia University in the City of New York,Science and engineering,Female,"1,985"
2013,Columbia University in the City of New York,Science and engineering,Male,"3,089"
2013,Cornell University,Total for selected values,Total for selected values,"4,799"
2013,Cornell University,Science and engineering,Total for selected values,"4,799"
2013,Cornell University,Science and engineering,Female,"2,108"
2013,Cornell University,Science and engineering,Male,"2,691"
2013,Dartmouth College,Total for selected values,Total for selected values,750
2013,Dartmouth College,Science and engineering,Total for selected values,750
2013,Dartmouth College,Science and engineering,Female,305
2013,Dartmouth College,Science and engineering,Male,445
2013,Duke University,Total for selected values,Total for selected values,"2,433"
2013,Duke University,Science and engineering,Total for selected values,"2,433"
2013,Duke University,Science and engineering,Female,"1,079"
2013,Duke University,Science and engineering,Male,"1,354"
2013,Harvard University,Total for selected values,Total for selected values,"4,594"
2013,Harvard University,Science and engineering,Total for selected values,"4,594"
2013,Harvard University,Science and engineering,Female,"2,025"
2013,Harvard University,Science and engineering,Male,"2,569"
2013,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,695"
2013,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,695"
2013,Massachusetts Institute of Technology,Science and engineering,Female,"1,378"
2013,Massachusetts Institute of Technology,Science and engineering,Male,"3,317"
2013,Princeton University,Total for selected values,Total for selected values,"2,013"
2013,Princeton University,Science and engineering,Total for selected values,"2,013"
2013,Princeton University,Science and engineering,Female,682
2013,Princeton University,Science and engineering,Male,"1,331"
2013,Stanford University,Total for selected values,Total for selected values,"6,168"
2013,Stanford University,Science and engineering,Total for selected values,"6,168"
2013,Stanford University,Science and engineering,Female,"2,042"
2013,Stanford University,Science and engineering,Male,"4,126"
2013,University of Pennsylvania,Total for selected values,Total for selected values,"3,055"
2013,University of Pennsylvania,Science and engineering,Total for selected values,"3,055"
2013,University of Pennsylvania,Science and engineering,Female,"1,324"
2013,University of Pennsylvania,Science and engineering,Male,"1,731"
2013,Yale University,Total for selected values,Total for selected values,"2,168"
2013,Yale University,Science and engineering,Total for selected values,"2,168"
2013,Yale University,Science and engineering,Female,"1,002"
2013,Yale University,Science and engineering,Male,"1,166"
2012,Total for selected values,Total for selected values,Total for selected values,"35,914"
2012,Brown University,Total for selected values,Total for selected values,"1,508"
2012,Brown University,Science and engineering,Total for selected values,"1,508"
2012,Brown University,Science and engineering,Female,717
2012,Brown University,Science and engineering,Male,791
2012,Columbia University in the City of New York,Total for selected values,Total for selected values,"4,988"
2012,Columbia University in the City of New York,Science and engineering,Total for selected values,"4,988"
2012,Columbia University in the City of New York,Science and engineering,Female,"1,876"
2012,Columbia University in the City of New York,Science and engineering,Male,"3,112"
2012,Cornell University,Total for selected values,Total for selected values,"4,729"
2012,Cornell University,Science and engineering,Total for selected values,"4,729"
2012,Cornell University,Science and engineering,Female,"2,101"
2012,Cornell University,Science and engineering,Male,"2,628"
2012,Dartmouth College,Total for selected values,Total for selected values,738
2012,Dartmouth College,Science and engineering,Total for selected values,738
2012,Dartmouth College,Science and engineering,Female,311
2012,Dartmouth College,Science and engineering,Male,427
2012,Duke University,Total for selected values,Total for selected values,"2,311"
2012,Duke University,Science and engineering,Total for selected values,"2,311"
2012,Duke University,Science and engineering,Female,"1,022"
2012,Duke University,Science and engineering,Male,"1,289"
2012,Harvard University,Total for selected values,Total for selected values,"4,374"
2012,Harvard University,Science and engineering,Total for selected values,"4,374"
2012,Harvard University,Science and engineering,Female,"1,960"
2012,Harvard University,Science and engineering,Male,"2,414"
2012,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,650"
2012,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,650"
2012,Massachusetts Institute of Technology,Science and engineering,Female,"1,367"
2012,Massachusetts Institute of Technology,Science and engineering,Male,"3,283"
2012,Princeton University,Total for selected values,Total for selected values,"1,989"
2012,Princeton University,Science and engineering,Total for selected values,"1,989"
2012,Princeton University,Science and engineering,Female,673
2012,Princeton University,Science and engineering,Male,"1,316"
2012,Stanford University,Total for selected values,Total for selected values,"5,969"
2012,Stanford University,Science and engineering,Total for selected values,"5,969"
2012,Stanford University,Science and engineering,Female,"1,948"
2012,Stanford University,Science and engineering,Male,"4,021"
2012,University of Pennsylvania,Total for selected values,Total for selected values,"2,560"
2012,University of Pennsylvania,Science and engineering,Total for selected values,"2,560"
2012,University of Pennsylvania,Science and engineering,Female,"1,031"
2012,University of Pennsylvania,Science and engineering,Male,"1,529"
2012,Yale University,Total for selected values,Total for selected values,"2,098"
2012,Yale University,Science and engineering,Total for selected values,"2,098"
2012,Yale University,Science and engineering,Female,965
2012,Yale University,Science and engineering,Male,"1,133"
2011,Total for selected values,Total for selected values,Total for selected values,"35,068"
2011,Brown University,Total for selected values,Total for selected values,"1,477"
2011,Brown University,Science and engineering,Total for selected values,"1,477"
2011,Brown University,Science and engineering,Female,695
2011,Brown University,Science and engineering,Male,782
2011,Columbia University in the City of New York,Total for selected values,Total for selected values,"4,589"
2011,Columbia University in the City of New York,Science and engineering,Total for selected values,"4,589"
2011,Columbia University in the City of New York,Science and engineering,Female,"1,719"
2011,Columbia University in the City of New York,Science and engineering,Male,"2,870"
2011,Cornell University,Total for selected values,Total for selected values,"4,819"
2011,Cornell University,Science and engineering,Total for selected values,"4,819"
2011,Cornell University,Science and engineering,Female,"2,135"
2011,Cornell University,Science and engineering,Male,"2,684"
2011,Dartmouth College,Total for selected values,Total for selected values,686
2011,Dartmouth College,Science and engineering,Total for selected values,686
2011,Dartmouth College,Science and engineering,Female,293
2011,Dartmouth College,Science and engineering,Male,393
2011,Duke University,Total for selected values,Total for selected values,"2,064"
2011,Duke University,Science and engineering,Total for selected values,"2,064"
2011,Duke University,Science and engineering,Female,888
2011,Duke University,Science and engineering,Male,"1,176"
2011,Harvard University,Total for selected values,Total for selected values,"4,320"
2011,Harvard University,Science and engineering,Total for selected values,"4,320"
2011,Harvard University,Science and engineering,Female,"1,930"
2011,Harvard University,Science and engineering,Male,"2,390"
2011,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,807"
2011,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,807"
2011,Massachusetts Institute of Technology,Science and engineering,Female,"1,468"
2011,Massachusetts Institute of Technology,Science and engineering,Male,"3,339"
2011,Princeton University,Total for selected values,Total for selected values,"1,879"
2011,Princeton University,Science and engineering,Total for selected values,"1,879"
2011,Princeton University,Science and engineering,Female,645
2011,Princeton University,Science and engineering,Male,"1,234"
2011,Stanford University,Total for selected values,Total for selected values,"5,945"
2011,Stanford University,Science and engineering,Total for selected values,"5,945"
2011,Stanford University,Science and engineering,Female,"1,875"
2011,Stanford University,Science and engineering,Male,"4,070"
2011,University of Pennsylvania,Total for selected values,Total for selected values,"2,378"
2011,University of Pennsylvania,Science and engineering,Total for selected values,"2,378"
2011,University of Pennsylvania,Science and engineering,Female,"1,000"
2011,University of Pennsylvania,Science and engineering,Male,"1,378"
2011,Yale University,Total for selected values,Total for selected values,"2,104"
2011,Yale University,Science and engineering,Total for selected values,"2,104"
2011,Yale University,Science and engineering,Female,988
2011,Yale University,Science and engineering,Male,"1,116"
2010,Total for selected values,Total for selected values,Total for selected values,"34,117"
2010,Brown University,Total for selected values,Total for selected values,"1,222"
2010,Brown University,Science and engineering,Total for selected values,"1,222"
2010,Brown University,Science and engineering,Female,560
2010,Brown University,Science and engineering,Male,662
2010,Columbia University in the City of New York,Total for selected values,Total for selected values,"4,297"
2010,Columbia University in the City of New York,Science and engineering,Total for selected values,"4,297"
2010,Columbia University in the City of New York,Science and engineering,Female,"1,583"
2010,Columbia University in the City of New York,Science and engineering,Male,"2,714"
2010,Cornell University,Total for selected values,Total for selected values,"4,835"
2010,Cornell University,Science and engineering,Total for selected values,"4,835"
2010,Cornell University,Science and engineering,Female,"2,069"
2010,Cornell University,Science and engineering,Male,"2,766"
2010,Dartmouth College,Total for selected values,Total for selected values,680
2010,Dartmouth College,Science and engineering,Total for selected values,680
2010,Dartmouth College,Science and engineering,Female,261
2010,Dartmouth College,Science and engineering,Male,419
2010,Duke University,Total for selected values,Total for selected values,"2,015"
2010,Duke University,Science and engineering,Total for selected values,"2,015"
2010,Duke University,Science and engineering,Female,888
2010,Duke University,Science and engineering,Male,"1,127"
2010,Harvard University,Total for selected values,Total for selected values,"4,017"
2010,Harvard University,Science and engineering,Total for selected values,"4,017"
2010,Harvard University,Science and engineering,Female,"1,744"
2010,Harvard University,Science and engineering,Male,"2,273"
2010,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,799"
2010,Massachusetts Institute of Technology,Science and engineering,Total for selected values,"4,799"
2010,Massachusetts Institute of Technology,Science and engineering,Female,"1,458"
2010,Massachusetts Institute of Technology,Science and engineering,Male,"3,341"
2010,Princeton University,Total for selected values,Total for selected values,"1,904"
2010,Princeton University,Science and engineering,Total for selected values,"1,904"
2010,Princeton University,Science and engineering,Female,659
2010,Princeton University,Science and engineering,Male,"1,245"
2010,Stanford University,Total for selected values,Total for selected values,"5,942"
2010,Stanford University,Science and engineering,Total for selected values,"5,942"
2010,Stanford University,Science and engineering,Female,"1,855"
2010,Stanford University,Science and engineering,Male,"4,087"
2010,University of Pennsylvania,Total for selected values,Total for selected values,"2,434"
2010,University of Pennsylvania,Science and engineering,Total for selected values,"2,434"
2010,University of Pennsylvania,Science and engineering,Female,998
2010,University of Pennsylvania,Science and engineering,Male,"1,436"
2010,Yale University,Total for selected values,Total for selected values,"1,972"
2010,Yale University,Science and engineering,Total for selected values,"1,972"
2010,Yale University,Science and engineering,Female,930
2010,Yale University,Science and engineering,Male,"1,042"
2009,Total for selected values,Total for selected values,Total for selected values,"33,515"
2009,Brown University,Total for selected values,Total for selected values,"1,130"
2009,Brown University,Science and engineering,Total for selected values,"1,130"
2009,Brown University,Science and engineering,Female,489
2009,Brown University,Science and engineering,Male,641
2009,Columbia Univ in the City of New York,Total for selected values,Total for selected values,"3,879"
2009,Columbia Univ in the City of New York,Science and engineering,Total for selected values,"3,879"
2009,Columbia Univ in the City of New York,Science and engineering,Female,"1,436"
2009,Columbia Univ in the City of New York,Science and engineering,Male,"2,443"
2009,Cornell University,Total for selected values,Total for selected values,"4,575"
2009,Cornell University,Science and engineering,Total for selected values,"4,575"
2009,Cornell University,Science and engineering,Female,"1,920"
2009,Cornell University,Science and engineering,Male,"2,655"
2009,Dartmouth College,Total for selected values,Total for selected values,650
2009,Dartmouth College,Science and engineering,Total for selected values,650
2009,Dartmouth College,Science and engineering,Female,254
2009,Dartmouth College,Science and engineering,Male,396
2009,Duke University,Total for selected values,Total for selected values,"1,946"
2009,Duke University,Science and engineering,Total for selected values,"1,946"
2009,Duke University,Science and engineering,Female,862
2009,Duke University,Science and engineering,Male,"1,084"
2009,Harvard University,Total for selected values,Total for selected values,"3,941"
2009,Harvard University,Science and engineering,Total for selected values,"3,941"
2009,Harvard University,Science and engineering,Female,"1,728"
2009,Harvard University,Science and engineering,Male,"2,213"
